Datetime,Price,Quantity
2024-12-04 19:48:51.053,96730.1,0.021
2024-12-04 19:48:51.135,96730.2,0.017
2024-12-04 19:48:51.344,96730.1,1.395
2024-12-04 19:48:51.403,96730.0,0.016
2024-12-04 19:48:51.403,96729.7,0.003
2024-12-04 19:48:51.403,96728.9,0.107
2024-12-04 19:48:51.403,96728.5,0.003
2024-12-04 19:48:51.403,96728.3,0.191
2024-12-04 19:48:51.450,96728.4,0.025
2024-12-04 19:48:51.456,96728.3,0.011
2024-12-04 19:48:51.621,96728.3,0.044
2024-12-04 19:48:51.782,96728.3,0.075
2024-12-04 19:48:51.980,96728.4,0.003
2024-12-04 19:48:51.981,96728.3,0.005
2024-12-04 19:48:52.127,96728.4,0.005
2024-12-04 19:48:52.182,96728.3,0.197
2024-12-04 19:48:52.542,96728.3,0.817
2024-12-04 19:48:52.762,96728.3,0.015
2024-12-04 19:48:52.974,96728.3,0.033
2024-12-04 19:48:52.992,96728.4,0.011
2024-12-04 19:48:53.058,96728.3,0.033
2024-12-04 19:48:53.267,96728.3,0.027
2024-12-04 19:48:53.280,96728.4,0.06
2024-12-04 19:48:53.557,96728.3,0.013
2024-12-04 19:48:53.669,96728.3,0.414
2024-12-04 19:48:53.676,96728.1,0.002
2024-12-04 19:48:53.676,96728.0,0.015
2024-12-04 19:48:53.682,96727.8,0.14
2024-12-04 19:48:53.685,96727.2,0.007
2024-12-04 19:48:53.813,96727.1,0.027
2024-12-04 19:48:53.970,96727.1,0.014
2024-12-04 19:48:53.970,96726.9,0.015
2024-12-04 19:48:53.971,96726.6,0.002
2024-12-04 19:48:53.972,96726.3,0.003
2024-12-04 19:48:53.972,96726.1,0.003
2024-12-04 19:48:53.988,96725.9,0.121
2024-12-06 09:38:05.070,98286.4,0.01
2024-12-06 09:38:05.280,98286.4,0.003
2024-12-06 09:38:05.456,98286.3,0.01
2024-12-06 09:38:05.600,98286.3,0.047
2024-12-06 09:38:06.058,98286.4,0.005
2024-12-06 09:38:06.194,98286.4,0.06
2024-12-06 09:38:06.593,98286.3,0.018
2024-12-06 09:38:06.716,98286.3,0.155
2024-12-06 09:38:06.912,98286.3,0.026
2024-12-06 09:38:07.036,98286.3,0.002
2024-12-06 09:38:07.246,98286.3,0.07
2024-12-06 09:38:07.289,98286.4,3.546
2024-12-06 09:38:07.294,98286.5,0.149
2024-12-06 09:38:07.295,98286.6,0.102
2024-12-06 09:38:07.297,98286.8,0.002
2024-12-06 09:38:07.297,98286.9,0.01
2024-12-06 09:38:07.297,98287.8,0.006
2024-12-06 09:38:07.297,98287.9,0.005
2024-12-06 09:38:07.297,98288.0,0.051
2024-12-06 09:38:07.307,98289.3,0.036
2024-12-06 09:38:07.307,98289.4,0.005
2024-12-06 09:38:07.307,98290.0,0.005
2024-12-06 09:38:07.307,98290.1,0.026
2024-12-06 09:38:07.313,98290.2,0.609
2024-12-06 09:38:07.323,98290.9,0.004
2024-12-06 09:38:07.327,98291.2,0.005
2024-12-06 09:38:07.352,98291.3,0.029
2024-12-06 09:38:07.352,98291.5,0.024
2024-12-06 09:38:07.391,98291.6,0.121
2024-12-06 09:38:07.416,98291.8,0.002
2024-12-06 09:38:07.418,98293.0,0.003
2024-12-06 09:38:07.438,98293.1,0.005
2024-12-06 09:38:07.438,98293.6,0.002
2024-12-06 09:38:07.471,98294.1,0.035
2024-12-06 09:38:07.471,98294.2,0.003
2024-12-06 09:38:07.471,98294.9,0.062
2024-12-06 09:38:07.484,98295.0,0.817
2024-12-06 09:38:07.484,98295.4,0.012
2024-12-06 09:38:07.484,98295.5,0.002
2024-12-06 09:38:07.484,98295.7,0.006
2024-12-06 09:38:07.484,98296.2,0.006
2024-12-06 09:38:07.484,98296.3,0.003
2024-12-06 09:38:07.484,98296.4,0.024
2024-12-06 09:38:07.484,98296.7,0.005
2024-12-06 09:38:07.484,98297.5,0.002
2024-12-06 09:38:07.484,98297.6,0.006
2024-12-06 09:38:07.484,98298.5,0.005
2024-12-06 09:38:07.484,98298.8,0.01
2024-12-06 09:38:07.484,98299.4,0.002
2024-12-06 09:38:07.484,98299.6,0.002
2024-12-06 09:38:07.484,98299.7,0.343
2024-12-06 09:38:07.484,98300.0,0.173
2024-12-06 09:38:07.485,98300.3,0.005
2024-12-06 09:38:07.485,98300.5,0.002
2024-12-06 09:38:07.485,98301.1,0.05
2024-12-06 09:38:07.485,98301.3,0.05
2024-12-06 09:38:07.485,98301.4,0.002
2024-12-06 09:38:07.485,98301.6,0.004
2024-12-06 09:38:07.485,98301.9,0.002
2024-12-06 09:38:07.485,98302.2,0.005
2024-12-06 09:38:07.485,98302.8,0.013
