Datetime,Price
2024-12-13 23:09:52,101418.9
2024-12-13 23:09:54,101415.0
2024-12-13 23:09:56,101427.8
2024-12-13 23:15:23,101486.8
2024-12-13 23:15:25,101486.7
2024-12-13 23:15:27,101484.7
2024-12-13 23:15:29,101466.1
2024-12-13 23:15:31,101459.5
2024-12-13 23:15:33,101459.6
2024-12-13 23:15:35,101455.7
2024-12-13 23:15:37,101458.1
2024-12-13 23:15:39,101444.1
2024-12-13 23:15:41,101413.5
2024-12-13 23:15:43,101416.3
2024-12-13 23:15:45,101403.5
2024-12-13 23:15:47,101400.0
2024-12-13 23:15:49,101403.4
2024-12-13 23:15:51,101403.4
2024-12-13 23:15:53,101403.4
2024-12-13 23:15:55,101403.4
2024-12-13 23:15:57,101400.0
2024-12-13 23:15:59,101400.9
2024-12-13 23:16:01,101401.0
2024-12-13 23:16:03,101400.9
2024-12-13 23:16:05,101400.9
2024-12-13 23:16:07,101411.6
2024-12-13 23:16:09,101402.6
2024-12-13 23:16:11,101413.5
2024-12-13 23:16:13,101413.4
2024-12-13 23:16:15,101401.0
2024-12-13 23:16:17,101400.9
2024-12-13 23:16:19,101400.0
2024-12-13 23:16:21,101384.6
2024-12-13 23:16:23,101372.7
2024-12-13 23:16:25,101392.4
2024-12-13 23:16:27,101396.3
2024-12-13 23:16:29,101394.0
2024-12-13 23:16:31,101387.4
2024-12-13 23:16:33,101387.5
2024-12-13 23:16:35,101387.4
2024-12-13 23:16:37,101387.4
2024-12-13 23:16:39,101387.5
2024-12-13 23:16:41,101396.4
2024-12-13 23:16:43,101413.3
2024-12-13 23:16:45,101363.6
2024-12-13 23:16:47,101387.3
2024-12-13 23:16:49,101387.3
2024-12-13 23:16:51,101387.4
2024-12-13 23:16:53,101412.2
2024-12-13 23:16:55,101399.5
2024-12-13 23:16:57,101393.1
2024-12-13 23:16:59,101393.0
2024-12-13 23:17:01,101393.0
2024-12-13 23:17:03,101393.0
2024-12-13 23:17:05,101393.0
2024-12-13 23:17:07,101417.7
2024-12-13 23:17:09,101418.6
2024-12-13 23:17:11,101418.5
2024-12-13 23:17:13,101418.5
2024-12-13 23:17:15,101402.4
2024-12-13 23:17:17,101412.7
2024-12-13 23:17:19,101412.7
2024-12-13 23:17:21,101379.7
2024-12-13 23:17:23,101397.3
2024-12-13 23:17:25,101402.5
2024-12-13 23:17:27,101402.5
2024-12-13 23:17:29,101425.9
2024-12-13 23:17:31,101426.0
2024-12-13 23:17:33,101426.0
2024-12-13 23:17:35,101460.0
2024-12-13 23:17:37,101462.0
2024-12-13 23:17:39,101472.1
2024-12-13 23:17:41,101476.3
2024-12-13 23:17:43,101476.3
2024-12-13 23:17:45,101481.1
2024-12-13 23:17:47,101483.6
2024-12-13 23:17:49,101483.6
2024-12-13 23:17:51,101464.0
2024-12-13 23:17:53,101446.9
2024-12-13 23:17:55,101431.4
2024-12-13 23:17:57,101431.4
2024-12-13 23:17:59,101438.0
2024-12-13 23:18:01,101419.0
2024-12-13 23:18:03,101384.6
2024-12-13 23:18:05,101378.8
2024-12-13 23:26:38,101706.2
2024-12-13 23:26:40,101706.1
2024-12-13 23:30:28,101697.0
2024-12-13 23:30:30,101689.9
2024-12-13 23:30:32,101709.6
2024-12-13 23:30:34,101701.7
2024-12-13 23:30:36,101689.8
2024-12-13 23:30:38,101674.0
2024-12-13 23:30:40,101652.9
2024-12-13 23:30:42,101649.9
2024-12-13 23:30:44,101676.6
2024-12-13 23:30:46,101676.6
2024-12-13 23:30:48,101670.1
2024-12-13 23:30:50,101670.0
2024-12-13 23:30:52,101673.1
2024-12-13 23:30:54,101673.2
2024-12-13 23:30:56,101690.0
2024-12-13 23:30:58,101689.9
