Price,Quantity,Datetime,Type
101161.6,0.004,2024-12-14 01:17:19,Bid
101161.4,0.003,2024-12-14 01:17:19,Bid
101161.3,0.89,2024-12-14 01:17:19,Bid
101161.2,0.042,2024-12-14 01:17:19,Bid
101161.0,0.001,2024-12-14 01:17:19,Bid
101160.9,0.211,2024-12-14 01:17:19,Bid
101160.8,0.814,2024-12-14 01:17:19,Bid
101160.7,0.092,2024-12-14 01:17:19,Bid
101160.6,0.07,2024-12-14 01:17:19,Bid
101160.3,0.026,2024-12-14 01:17:19,Bid
101160.2,0.048,2024-12-14 01:17:19,Bid
101160.0,0.667,2024-12-14 01:17:19,Bid
101159.9,0.001,2024-12-14 01:17:19,Bid
101159.8,0.743,2024-12-14 01:17:19,Bid
101159.7,0.371,2024-12-14 01:17:19,Bid
101159.6,0.001,2024-12-14 01:17:19,Bid
101159.5,0.002,2024-12-14 01:17:19,Bid
101159.4,0.02,2024-12-14 01:17:19,Bid
101159.3,0.005,2024-12-14 01:17:19,Bid
101159.2,0.002,2024-12-14 01:17:19,Bid
101159.0,0.296,2024-12-14 01:17:19,Bid
101158.9,0.003,2024-12-14 01:17:19,Bid
101158.8,0.025,2024-12-14 01:17:19,Bid
101158.7,0.299,2024-12-14 01:17:19,Bid
101158.6,0.002,2024-12-14 01:17:19,Bid
101158.5,0.32,2024-12-14 01:17:19,Bid
101158.4,0.039,2024-12-14 01:17:19,Bid
101158.2,0.876,2024-12-14 01:17:19,Bid
101158.0,0.04,2024-12-14 01:17:19,Bid
101157.5,0.642,2024-12-14 01:17:19,Bid
101157.2,0.04,2024-12-14 01:17:19,Bid
101157.0,0.947,2024-12-14 01:17:19,Bid
101156.9,0.003,2024-12-14 01:17:19,Bid
101156.8,0.276,2024-12-14 01:17:19,Bid
101156.7,0.014,2024-12-14 01:17:19,Bid
101156.6,0.798,2024-12-14 01:17:19,Bid
101156.4,0.067,2024-12-14 01:17:19,Bid
101156.1,0.004,2024-12-14 01:17:19,Bid
101156.0,0.046,2024-12-14 01:17:19,Bid
101155.9,0.91,2024-12-14 01:17:19,Bid
101155.8,0.015,2024-12-14 01:17:19,Bid
101155.6,0.001,2024-12-14 01:17:19,Bid
101155.5,0.07,2024-12-14 01:17:19,Bid
101155.3,0.069,2024-12-14 01:17:19,Bid
101155.2,0.108,2024-12-14 01:17:19,Bid
101155.1,5.653,2024-12-14 01:17:19,Bid
101155.0,28.346,2024-12-14 01:17:19,Bid
101154.9,0.007,2024-12-14 01:17:19,Bid
101154.8,0.003,2024-12-14 01:17:19,Bid
101154.7,0.027,2024-12-14 01:17:19,Bid
101154.6,0.001,2024-12-14 01:17:19,Bid
101154.5,2.5,2024-12-14 01:17:19,Bid
101154.4,0.742,2024-12-14 01:17:19,Bid
101154.3,1.448,2024-12-14 01:17:19,Bid
101154.2,0.006,2024-12-14 01:17:19,Bid
101154.1,0.005,2024-12-14 01:17:19,Bid
101154.0,0.012,2024-12-14 01:17:19,Bid
101153.9,0.743,2024-12-14 01:17:19,Bid
101153.8,0.982,2024-12-14 01:17:19,Bid
101153.7,0.002,2024-12-14 01:17:19,Bid
101153.6,0.001,2024-12-14 01:17:19,Bid
101153.5,0.014,2024-12-14 01:17:19,Bid
101153.2,0.109,2024-12-14 01:17:19,Bid
101153.1,0.029,2024-12-14 01:17:19,Bid
101153.0,0.863,2024-12-14 01:17:19,Bid
